,id,text,created_at,retweet_count,favorite_count,source,user_id,user_screen_name,user_name,user_created_at,user_description,user_followers_count,user_friends_count,user_location
0,808693785714491393,"RT @YesIamSaffron: एक्सिसबैंक घोटाले में वही जाली कंपनी शामिल है जो@ArvindKejriwal को रातके अँधेरे में 2-2Cr चन्दा देजातीथी @PMOIndia
https…",2016-12-13 15:23:17,315,0,Twitter for Android,36711007,surasosh,मेरा भारत महान,2009-04-30 16:56:08,"मैं कट्टर हिंदू हूँ, भारत माँ का बेटा हूँ।",849,1184,भारत
1,808693754370658307,RT @vj2infotech: @DrGPradhan @IndianExpress Sir pls check ds Video taxi driver from north east view on Demonetization and Modi Ji https://t…,2016-12-13 15:23:10,64,0,Twitter for iPhone,446175979,shweta_ohri,Shweta Ohri,2011-12-25 11:37:37,"Nation lover, RTs are not endorsements",489,247,
2,808693746640392194,#Haryana @kiranchoudhry55 @ashokbuwaniwala #demonetization https://t.co/2K3uLbSo9z,2016-12-13 15:23:08,0,1,Twitter for iPhone,713389219708686337,bhiwanicongress,Bhiwani Congress,2016-03-25 15:36:58,Working for Haryana Pradesh Congress Committee,328,74,"Bhiwani, Haryana, India"
3,808693730945306626,Retail Inflation at 2 years low due to demonetization https://t.co/ehI9yQl0ia,2016-12-13 15:23:04,0,0,Indiacityblog,2575041702,IndiaCityBlog,India City Blog,2014-06-18 15:38:15,India City Blog is launched to cover the updates across all major cities in India.,39,172,Bangalore & Mumbai
4,808693714734419968,"RT @mahcongress: #CoalIndia Q2 profits crash from ₹2654 Cr to ₹600 Cr. Down 77.39%. (&amp; Q2 corresponds to pre-#demonetization period) 
https…",2016-12-13 15:23:01,2,0,Twitter for Android,155541275,arunoday84,Arun Gite,2010-06-14 12:25:28,,26,176,
5,808693515743940611,"RT @sailorsmoon: This 'joke' named demonetization fails, blame yourself, blame everyone around you, that guy had' one good intention, we al…",2016-12-13 15:22:13,14,0,Twitter for iPhone,711745901715324928,ttrumped,Sahi pakde hein,2016-03-21 02:47:01,you can very well go to hell,34,253,
6,808693511658668032,RT @sunandavashisht: Jagdish Bhagwati explains why he favors Demonetization https://t.co/gQiYy6IA13,2016-12-13 15:22:12,6,0,Twitter for iPhone,781738313954627584,Sardar_Modi,Sardar Narendra Modi,2016-09-30 06:11:52,Proud Indian. Proud Hindu.                        I believe NaMo will bring India's lost glory back and make it a Jagat Guru again. Vande Mataram 🙏,27,347,India
7,808693463327739904,"#Demonetization was the boldest step @narendramodi took thus far
Rt. Lieutenant AJ the Trojan horse, finds it a God-sent to trounce NM with",2016-12-13 15:22:01,0,0,Twitter Web Client,2228035598,absrkr,AB,2013-12-03 09:46:31,"hehe...when I don't often endorse my own tweets, what of those re-tweets!",772,385,
8,808693456755445760,"RT @M_Lekhi: DAY9 of #cashless economy drive, people wholeheartedly supporting #Demonetisation #Demonetization &amp; wish to join #DigitalEcono…",2016-12-13 15:21:59,41,0,Twitter for Android,138323123,kanthaliya,R@#()L,2010-04-29 06:42:17,Chartered Accountant by profession. Indian by birth. Antinationals ki keh k lenge. Political guru- atalji .Proud bhakth. bhai rahuldumb-gandhi irritate me a lot,85,93,kaha se aaya mein hu kaun
9,808693452212797442,PM Modi refuses to honour elected #Parliament on #demonetization - https://t.co/qDItGTmDdt https://t.co/gUc3E90IqE,2016-12-13 15:21:58,0,0,TweetDeck,759284030999232512,shenshanji,shahji,2016-07-30 07:06:34,,6,3,
10,808693452003119104,PM Modi refuses to honour elected #Parliament on #demonetization - https://t.co/XkCuSpOIjP https://t.co/TVssr0J83I,2016-12-13 15:21:58,0,0,TweetDeck,749512627450179584,kyayesacchai,@KYAYESACHAI,2016-07-03 07:58:30,,10,4,
11,808693452003102720,PM Modi refuses to honour elected #Parliament on #demonetization - https://t.co/xGSe3rQUaW https://t.co/qSPitSBxUq,2016-12-13 15:21:58,0,0,TweetDeck,759038524876267524,unofficialTNW,Unofficial Times Now,2016-07-29 14:51:01,#unofficialTimesNow #Thenoisehour #wadapow #arnabkabaja,38,167,France
12,808693451994714112,PM Modi refuses to honour elected #Parliament on #demonetization - https://t.co/ejU6qiYCb4 https://t.co/tQwteNAlAn,2016-12-13 15:21:58,0,0,TweetDeck,761806722482733056,s_voter,Voter's Foe,2016-08-06 06:10:51,,5,3,
13,808693451994710016,PM Modi refuses to honour elected #Parliament on #demonetization - https://t.co/7rrEfi3nE8 https://t.co/v3ANPVOsGR,2016-12-13 15:21:58,0,0,TweetDeck,761806129508659204,smilimgauranzeb,Smiling Auranzeb,2016-08-06 06:08:29,,14,3,
14,808693451990519809,PM Modi refuses to honour elected #Parliament on #demonetization - https://t.co/0kEYI11uEr https://t.co/IbdO4XYPp2,2016-12-13 15:21:58,0,0,TweetDeck,776402056198270977,NainaTheEye,Naina,2016-09-15 12:47:29,,20,24,
15,808693451990519808,PM Modi refuses to honour elected #Parliament on #demonetization - https://t.co/f0PG3k2P1A https://t.co/Sb1AeEv7Uv,2016-12-13 15:21:58,0,0,TweetDeck,776008740122210308,rocks_kavya,Kavya,2016-09-14 10:44:36,,20,24,
16,808693451990499330,PM Modi refuses to honour elected #Parliament on #demonetization - https://t.co/V2cqtqYFQY https://t.co/pkwK0EGjZF,2016-12-13 15:21:58,0,0,TweetDeck,754411720077115392,Kejriwal_is_god,Jokes of Kejri,2016-07-16 20:25:45,,30,15,
17,808693451986386944,PM Modi refuses to honour elected #Parliament on #demonetization - https://t.co/yLSRMPy6tQ https://t.co/yGADmK832v,2016-12-13 15:21:58,0,0,TweetDeck,776397138104246272,ShipaCrystal,shilpa,2016-09-15 12:27:57,,8,24,
